6147 USA|IA Newbotics
6148 USA|CA Orange Pi RoBEARics
6150 USA|OH Moderately Dangerous
6157 USA|WA Zenith
6158 USA|VA Spartabots
6163 USA|WA ECPO
6165 USA|CA M-SET Cuttlefish
6168 USA|MO Maniacal Mechanics
6169 USA|TX Men In black
6170 USA|SC Starbots Robotics
6174 USA|AZ Odyssey Automatons
6175 USA|HI Plus Ultra
6176 USA|HI Buff and Blue Crew
6179 USA|CA Quantum Fusion
6180 USA|MD Batteries Not Included
6183 USA|NC Thunderducks
6184 USA|OH MHS Tech Club
6186 USA|DE Senators
6188 USA|WA SiBorgs
6189 USA|IA High Voltage
6190 USA|IN Red Alert: CyberStorm
6191 USA|PA Short Circuit
6198 USA|IL arbitrary_Text
6199 USA|IL R.I.C.E.
6200 USA|IL Bronco Bots
6205 USA|MS SCARLET
6206 USA|IL Ohms Olympians
6207 USA|MO STEMpunks
6209 USA|TX ViperBots Venom
6210 USA|TX ViperBots  Stryke
6215 USA|MO The Gracious Professionals
6217 USA|RI The Fellowship
6219 USA|TX Panther Bots Bravo
6220 USA|WA Centripetal
6221 USA|TX Panther Bots Alpha
6225 USA|MI Synergy
6226 USA|CA Bambusa
6252 USA|IA Wacky Waving Inflatable Arm Flailing Tube Men
6272 USA|TX Iron Eagles Prime
6273 USA|MS Technocats
6278 USA|GA RoboGlads
6280 USA|AK Team Duct Tape
6281 USA|AK Genetic Advantage
6282 USA|CA Simi Valley Robotics
6283 USA|MI Platinum Tech Vikes
6284 USA|MD RoboCavs Black
6285 USA|MO Statesbots - Black
6286 USA|CA Falcon High Flyers
6287 USA|IL Vertigo
6289 USA|TN Drachenriders
6294 USA|MI Bionic Bots
6297 USA|IA Game Over
6298 USA|OH Broken Axles
6299 USA|TX ViperBots QuadX
6302 USA|MS N.E.K.O.S.
6306 USA|MD Tiborgs
6308 USA|MA Hutzbots
6309 USA|IA Oh.
6312 USA|TX GOLDEN TIGERS
6316 USA|MO The Crusaders 3
6321 USA|FL Robo Raiders
6322 USA|FL WiredCats
6323 USA|FL The Pink Team
6324 USA|FL Twisted Circuitz
6325 USA|CA Aluminati
6327 USA|FL Fetch
6337 USA|NJ Metal Marauders
6340 USA|IA Wauctopi
6341 USA|VA Moon Platoon
6347 USA|NY Geared Up
6357 USA|CA Top Dogs
6359 USA|MI Bruin Bots
6360 USA|IN Brazen Bots
6363 USA|IA The Twisted Axles
6364 USA|FL Pulsatrix
6365 USA|IA The Dungeon Masters
6366 USA|WY Trojan Robotics
6369 USA|MN Designosaurs
6370 USA|CA Nemesis
6371 USA|CA Machine Kings
6372 USA|CA Patriotic Robotics
6373 USA|CA SuperBots
6378 USA|PA JayBots
6379 USA|FL Clockwork Mania
6382 USA|CO Wizards Robotics 6382
6383 USA|VA Zeus' Bolts
6387 USA|MO Brobots
6390 USA|MD Falcon 1
6395 USA|WA Event Horizon
6402 USA|RI Mariners
6406 USA|MD First Tech Coyotes
